Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Sat Mar 23 00:08:27 2024
| Host         : audacity running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : xcvu095ffva2104-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                                                       Instance                                                       |                                 Module                                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+----------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
| mkPcieTop                                                                                                            |                                                                 (top) |      13325 |      12649 |     672 |    4 | 18199 |     37 |     14 |    0 |            0 |
|   (mkPcieTop)                                                                                                        |                                                                 (top) |         83 |         83 |       0 |    0 |   296 |      0 |      0 |    0 |            0 |
|   GetPutWithClocks_inst_mkConnectionWithClocks_synchronizer                                                          |                                                              SyncFIFO |         27 |         19 |       8 |    0 |    58 |      0 |      0 |    0 |            0 |
|   host_pcieHostTop_ep7                                                                                               |                                                      mkPcieEndpointX7 |       1810 |       1806 |       0 |    4 |  4045 |      3 |     12 |    0 |            0 |
|     (host_pcieHostTop_ep7)                                                                                           |                                                      mkPcieEndpointX7 |         71 |         71 |       0 |    0 |   130 |      0 |      0 |    0 |            0 |
|     changeFifo                                                                                                       |                                                                 FIFO2 |         55 |         55 |       0 |    0 |    37 |      0 |      0 |    0 |            0 |
|     cs_changeFifo                                                                                                    |                                                             FIFO1_178 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |            0 |
|     fAxiCc                                                                                                           |                                                 FIFO2__parameterized0 |        217 |        217 |       0 |    0 |   269 |      0 |      0 |    0 |            0 |
|     fAxiCq                                                                                                           |                                                 FIFO2__parameterized1 |        135 |        135 |       0 |    0 |   238 |      0 |      0 |    0 |            0 |
|     fcc                                                                                                              |                                             FIFO2__parameterized2_179 |        135 |        135 |       0 |    0 |   262 |      0 |      0 |    0 |            0 |
|     fcc_tlps                                                                                                         |                                             FIFO2__parameterized2_180 |        242 |        242 |       0 |    0 |   262 |      0 |      0 |    0 |            0 |
|     fcq                                                                                                              |                                             FIFO2__parameterized2_181 |        147 |        147 |       0 |    0 |   257 |      0 |      0 |    0 |            0 |
|     frc                                                                                                              |                                             FIFO2__parameterized2_182 |         73 |         73 |       0 |    0 |    42 |      0 |      0 |    0 |            0 |
|     intrFifo                                                                                                         |                                                 FIFO2__parameterized3 |        102 |        102 |       0 |    0 |   190 |      0 |      0 |    0 |            0 |
|     intrMutex                                                                                                        |                                             FIFO1__parameterized0_183 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |            0 |
|     pcieReset250                                                                                                     |                                                         SyncReset_184 |          8 |          8 |       0 |    0 |    40 |      0 |      0 |    0 |            0 |
|     pcie_ep                                                                                                          |                                                    pcie3_ultrascale_0 |        625 |        621 |       0 |    4 |  2316 |      3 |     12 |    0 |            0 |
|       (pcie_ep)                                                                                                      |                                                    pcie3_ultrascale_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|       inst                                                                                                           |            pcie3_ultrascale_0pcie3_ultrascale_0_pcie3_uscale_core_top |        625 |        621 |       0 |    4 |  2316 |      3 |     12 |    0 |            0 |
|         (inst)                                                                                                       |            pcie3_ultrascale_0pcie3_ultrascale_0_pcie3_uscale_core_top |         10 |         10 |       0 |    0 |    23 |      0 |      0 |    0 |            0 |
|         gt_top_i                                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_wrapper |        588 |        584 |       0 |    4 |  1289 |      0 |      0 |    0 |            0 |
|           (gt_top_i)                                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_wrapper |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           gt_wizard.gtwizard_top_i                                                                                   |                     pcie3_ultrascale_0pcie3_ultrascale_0_gtwizard_top |         26 |         26 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             (gt_wizard.gtwizard_top_i)                                                                               |                     pcie3_ultrascale_0pcie3_ultrascale_0_gtwizard_top |         26 |         26 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             pcie3_ultrascale_0_gt_i                                                                                  |                               pcie3_ultrascale_0pcie3_ultrascale_0_gt |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|               (pcie3_ultrascale_0_gt_i)                                                                              |                               pcie3_ultrascale_0pcie3_ultrascale_0_gt |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|               inst                                                                                                   |                  pcie3_ultrascale_0pcie3_ultrascale_0_gt_gtwizard_top |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 gen_gtwizard_gthe3_top.pcie3_ultrascale_0_gt_gtwizard_gthe3_inst                                     |                pcie3_ultrascale_0pcie3_ultrascale_0_gt_gtwizard_gthe3 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   gen_gtwizard_gthe3.gen_channel_container[0].gen_enabled_channel.gthe3_channel_wrapper_inst         |         pcie3_ultrascale_0pcie3_ultrascale_0_gt_gthe3_channel_wrapper |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     channel_inst                                                                                     |        pcie3_ultrascale_0gtwizard_ultrascale_v1_7_6_gthe3_channel_416 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   gen_gtwizard_gthe3.gen_channel_container[1].gen_enabled_channel.gthe3_channel_wrapper_inst         |     pcie3_ultrascale_0pcie3_ultrascale_0_gt_gthe3_channel_wrapper_413 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     channel_inst                                                                                     |            pcie3_ultrascale_0gtwizard_ultrascale_v1_7_6_gthe3_channel |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   gen_gtwizard_gthe3.gen_common.gen_common_container[0].gen_enabled_common.gthe3_common_wrapper_inst |          pcie3_ultrascale_0pcie3_ultrascale_0_gt_gthe3_common_wrapper |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     common_inst                                                                                      |         pcie3_ultrascale_0gtwizard_ultrascale_v1_7_6_gthe3_common_415 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   gen_gtwizard_gthe3.gen_common.gen_common_container[1].gen_enabled_common.gthe3_common_wrapper_inst |      pcie3_ultrascale_0pcie3_ultrascale_0_gt_gthe3_common_wrapper_414 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     common_inst                                                                                      |             pcie3_ultrascale_0gtwizard_ultrascale_v1_7_6_gthe3_common |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           phy_clk_i                                                                                                  |                          pcie3_ultrascale_0pcie3_ultrascale_0_phy_clk |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           phy_lane[0].phy_rxeq_i                                                                                     |                         pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq |         16 |         16 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[0].phy_rxeq_i)                                                                                 |                         pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_387 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_411 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_412 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[0].phy_txeq_i                                                                                     |                         pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[0].phy_txeq_i)                                                                                 |                         pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1_372 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_381 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_382 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_383 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_384 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_385 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_386 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_373 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_379 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_380 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_374 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_375 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_376 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_377 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_378 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[1].phy_rxeq_i                                                                                     |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_7 |         17 |         17 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[1].phy_rxeq_i)                                                                                 |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_7 |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_346 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_370 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_371 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[1].phy_txeq_i                                                                                     |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_8 |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[1].phy_txeq_i)                                                                                 |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_8 |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1_331 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_340 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_341 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_342 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_343 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_344 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_345 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_332 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_338 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_339 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_333 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_334 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_335 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_336 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
